Name,Category,Description,Full Description,Price
Detoxanol,Detoxification,Eliminate the toxins that drag you down. flush out dangerous toxins & enjoy a more active lifestyle.,Eliminate the Toxins that Drag You Down.  Flush Out Dangerous Toxins & Enjoy a More Active Lifestyle.  Your liver is under a constant assault. Excess cholesterol and fats  chemicals in the environment  heavy metals  alcohol?  your liver has to deal with t,27.95
Colo-Cleanse,Digestion,Detoxify your bowels and quickly clear the 10lbs of rotting fecal matter from your intestinal tract.,Detoxify Your Bowels and Quickly Clear the 10 Lbs of Rotting Fecal Matter from Your Intestinal Tract  Kill the harmful parasites that live in your gut that prevent you from living the healthy  active lifestyle that you deserve.  Formulated with a combinat,29.95
Flora DSF,Digestion,Build an indestructable immune system with your body?s own supplemental life force.,Build an Indestructible Immune System?and Enhance EVERY Aspect of Your Life With This Revolutionary New Supplemental Life Force!  Enhance every aspect of your health and well being with your body?s own supplemental life force. Instantly clear out decades ,19.95
H Factor 7,Digestion,Fast relief from painful hemorrhoids.,Don?t Let Painful Hemorrhoids Hold You Back  At last  There?s An Easy way to get Fast Relief  Without messy creams  Without uncomfortable suppositories  And it?s 100% safe and natural  Don?t stand on the sidelines any more. .. get back in the game  on the,19.95
8 Hour Energy XP,Energy,The ONLY doctor-recommended 8-hour energy solution available without a prescription.,Give Your Body the 8 HOUR Energy EXPLOSION it Craves! 8 Hour Energy XP? The ONLY Doctor Recommended 8 HOUR Energy Solution Available Without a Prescription  At Best Life Herbals we truly understand how important robust energy levels and a vigorously activ,49.99
TI-HAIR,Hair,The age-old chinese secret for thicker  fuller  healthier hair.,The Age-Old Chinese Secret for Thicker  Fuller  Healthier Hair!  For thousands of years  the Chinese have used Fo-Ti Root  also known as He Shou Wu  as a remedy for thinning and graying hair. He Shou Wu literally means ?Black-haired Mr. He?  because  acco,19.95
Cholest 9,Heart Health,Discover nature?s most potent cholesterol remedies and tip the cholesterol odds in your favor.,Almost Half of All Americans Have Unhealthy Cholesterol Levels.  Tip the Cholesterol Odds in Your Favor!  Promote normal cholesterol and triglyceride levels  Support better blood flow to your heart and lungs  Encourage healthier blood pressure  High chole,19.95
Circ-Flow (Blood Pressure LBP),Heart Health,Don?t be the next victim of a silent killer.˜ Safely and naturally promote healthy blood pressure.,Don?t Be the Next Victim of This Silent Killer!  High Blood Pressure Now Strikes Women at an Alarming Rate.  It used to be a ?man?s problem.?  But  not anymore.  Almost half of the 74.5 million Americans with high blood pressure are now women.  And women ,27.95
Nattokinase,Heart Health,1000 year-old cardiovascular health secret REVEALED!,1000 year-old Cardiovascular Health Secret REVEALED!  Samurai Warriors feasted on it and displayed bone-crushing prowess on the battlefield. A Japanese scientist re-discovered it  saving countless lives. Its secret is now re-emerging  It?s well known that,27.95
Seta Cuorenol,Heart Health,Bathe your heart with the finest vitamins  herbs  and plant sterols money can buy.,Bathe Your Heart With the Finest Vitamins  Herbs and Plant Sterols Money Can Buy  Because you shouldn?t take half measures with your heart when your life is at stake. Seta Cuorenol?s 100% all natural ingredients have been clinically proven to remove decad,59.95
Ultra Ubiquinol,Heart Health,Shield your heart from the symptoms of the aging process with this proven  powerful enzyme.,Shield Your Heart From the Symptoms of the Aging Process  ?Our new patented Bio-Solv Technology makes Ubiquinol the most powerful CoQ10 supplement available anywhere ? up to 6 times more potent than your current brand!? The Next Evolution in Healthy Heart,27.95
Invigoral,Longevity,Support stronger bones  promote lean muscle growth  discourage fat  and help rev up your exercise capacity.,Switch On Your Body?s Own Powerful Age-Defying Secret!  It supports stronger bones  promotes lean muscle growth  discourages fat  and helps rev up exercise capacity.  ?It? is Human Growth Hormone-HGH-possibly the most powerful age-defying secret ever unco,55.9
Resveratrol,Longevity,Unlock the secret to defying old age and maintaining youthful vibrancy.,Unlock the Secret to ?Old Age Defiance? and Youthful Vibrancy  Resveratrol is one of the Most Powerful Naturally Occurring Anti-Oxidants known to man and has been the focus of some of the most exciting life-extending research to come out over the last 50 ,19.95
Resveratrol Cream,Longevity,Keep them guessing? They?ll Never Tell Your Age from Your Skin,Keep them guessing? They?ll Never Tell Your Age from Your Skin  Sun  wind and weather can be unkind to your skin. So no matter how well you take care of yourself  your skin gives away your age. Unless  you have a ?secret weapon? to fight the effects of ti,27.95
Lion?s Mane,Memory,The last memory booster you?ll ever need. Incredible brain-building power unlocked,The Last Memory Booster You?ll Ever Need  Incredible Brain-Building Power Unlocked  Banish brain fog for good  Untie the strings around your fingers  Think and focus with crystal clarity  Thanks to a recent breakthrough  you can finally stop worrying abou,27.95
15 Dragons,Men?s Health Sexual Potency,The secrets of the Chinese ? the sex-boosting ingredients of 15 Dragons? Put the spark back in your sex life.,Ancient Oriental Male Sex Secret Revealed For the First Time  This Potent Secret from the Orient Will Change Your Sex Life  And Give You The Pleasure And Satisfaction You Crave and Deserve. The Secrets of the Chinese ? The Sex Boosting Ingredients of 15 D,39.95
Mandro-RX,Men's Health Sexual Potency Testosterone Booster,Don?t let rising estrogen levels destroy your manhood. Enjoy powerful erections  a strong libido  and a man-like sex drive.,FACT: Your Rising Estrogen Levels Are Turning You Into A Woman!  Right now it?s weak erections  a diminished sex drive and a flabby midsection?But soon you could be needing a bra!  As men age their levels of the all-important male hormone Testosterone nat,27.95
Men?s Daily Formula,Men?s Health,A potent daily vitamin specifically formulated to meet a man?s special daily needs.,Attention: Taking a Daily Vitamin to Supplement Your Diet is CRITICAL for Your Health  In today?s fast paced world  it?s tough to get all of the essential nutrients that our bodies require. That?s why I?ve formulated a potent daily vitamin formula  Men?s ,39.95
Testo-FORCE,Men's Health Sexual Potency Testosterone Booster,Let Testo-FORCE and its potent nnutritents release your body?s own natural Testosterone stores as you drink your way to reclaiming the fire and desire that you had in your 20s?or even your teens!,Prime Your Internal Testosterone Pump and Permanently Combat Male Aging ? Quickly and 100% Naturally!   ?Best Life Herbals is proud to announce the next evolution in All Natural Testosterone Replacement Therapy?   Maximize Male Virility  Achieve Massive R,27.95
Pro-Green,Organic Greens,Release boundless energy and vitality with this incredibly potent blend of nature?s most powerful organic super foods.,Organic Fighting Force Maintains Your Natural Health and Longevity  Release boundless energy and vitality with this incredibly potent blend of nature?s most powerful organic super foods.   Cleanse your digestive system and wave good bye to pain and consti,19.95
Desinol,Pain Relief,Eradicate pain  increase mobility  and repair years of wear and tear.,Attention Pain Sufferers: End Your Worst Pain Now!  Desinol is the first pain fighting formula that helps eradicate pain  increase mobility and repair years of wear and tear.  Live pain free with one natural  simple solution that delivers a total approach,27.95
Collagen Plus,Pain Relief,Don?t Just Cover Up Your Joint Pain?Get Right to the Cause?Enjoy your favorite activities again with this joint health secret?,If your joints ache  chances are they?re breaking down. Collagen is the essential building block of the tissues that hold your joints together. The tissues that are causing your pain. Clinical trials show that collagen promotes lower levels of joint pain.,27.95
Natural Eggshell Membrane,Pain Relief,Say goodbye to joint stiffness and discomfort once and for all!!,It Sounds Crazy  but Research Proves It?s True?Barnyard Breakthrough Could End Stiff  Aching Joints for Good! Say Goodbye To Joint Stiffness and Discomfort Once and For all!!  Brand new research has uncovered an amazing joint-soothing breakthrough that wo,27.95
Nutranol Rx,Pain Relief,Put an end to your worst pain NOW! Strike back against the root cause of your chronic pain and inflammation starting today.,Put An End to Your Worst Pain NOW!  Strike Back Against The Root Cause Of Your Chronic Pain and  Inflammation Starting Today  Breakthrough research shows that a newly discovered  very potent  form of Boswellia acts rapidly to reduce swelling  inflammation,27.95
OsteoD-Fend,Pain Relief,Keep your bones healthy  strong  and stable. Prevent painful breaks & fractures with this incredible formula.,Keep Your Bones Healthy  Strong and Stable ? Prevent Painful Breaks & Fractures with This Incredible Formula  Fortified with˜three˜types of calcium as well as vitamin D to strengthen brittle or fragile bones.  If you?re suffering from any of these symptom,27.95
Prosta Rye,Prostate,Nature?s most powerful male health solution,Now: Experience Nature?s Most Powerful Male Health Solution  A MUST for All Men Over 40!  This breakthrough solution can give you maximum relief? and control? maximum pleasure and potency? and maximum freedom from prostate problems. Sleep through the nigh,19.95
Prosterin,Prostate,End prostate problems now! Fast  potent  and effective formula restores maximum sexual function. Get rid of prostate problems quickly  easily  and 100% naturally!,End Prostate Problems Now! Fast! Potent! Effective!  Restore Maximum Sexual Function. Get Rid of Prostate Problems Quickly  Easily and 100% Naturally!  Prosterin contains natural botanicals  select plant factors  whole plant extracts  amino acids  and min,19.95
Endurex,Sexual Potency,New breakthrough in potency combines two excellent health science methods to create a double-strength action proven to improve your love life!,Enjoy Sex the Way You Were Meant to  New breakthrough in potency combines two excellent health science methods to create a double-strength action proven to improve your love life   Have longer lasting erections  Enjoy natural and intense pleasure  Recaptu,27.95
Retinol A Cream,Skin,Say Good-bye to Wrinkles  Creases and Unsightly Crow?s Feet˜Moisturize  Soften and Smooth Even the Roughest Skin,Say Good-bye to Wrinkles  Creases and Unsightly Crow?s Feet  Moisturize  Soften and Smooth Even the Roughest Skin  At last! You can look as young as you feel. Gently smooth away the appearance of lines and wrinkles around your eyes  mouth? and even your h,27.95
DeltaSom,Sleep Solutions,Get a perfect night?s sleep?every night! Wake up feeling alert and energized.,Get a˜Perfect˜Night?s Sleep?Every Night!  Wake Up Feeling Alert and Energized  Extended action formula puts you to sleep fast?helps you sleep through the night!  Non-groggy formulation ensures you wake up feeling bright and energetic! Once you get that fi,27.95
Calm Factor IFH,Stress Support,Be an island of calm in a sea of daily stress.,Be an Island Of Calm in a Sea of Daily Stress  Unlock the Secret of the Ancient Incas that Melts Away Anxiousness  The Conquistadors found more than gold in the Andres Mountains of Peru. They also discovered the ancient Inca secret to staying cool  calm a,27.95
Ultimate Bladder Support,Urinary Health,Restore your freedom and confidence for good!,Never Suffer Again With Incontinence or a Weak Bladder! Restore Your Freedom and Confidence  For Good!  Don?t suffer another day. If you?re ready to regain control of your bladder ? and your life ? the botanicals and nutrients in Ultimate Bladder Support ,27.95
Visanol,Vision Health,See better than you have in years and protect your precious eyesight from serious problems.,See Better Then You Have In Years and Protect Your Precious Eyesight From Serious Problems  Make Your Vision Young  Vital  and Healthy ? Prevent Vision Threats That Can Ruin Your Life!  Help prevent cloudiness and blurriness  See better? day and night  Re,29.95
Hoodia,Weight Loss,Let Hoodia help you arrest your hunger and lose those extra pounds and inches.,Finally?an easy way to drop those unwanted extra pounds  Shed that extra weight with help from Best Life Herbal?s Hoodia? nature?s answer to overactive appetites.  Clinically proven to aid in the reduction of the interest in food?Hoodia has shown to signi,19.95
Losinal,Weight Loss,Say goodbye to those extra pounds with the world?s most complete fat fighting formula EVER!,Stop Wasting Time! Say Goodbye To Those Extra Pounds With The World?s Most Complete Fat Fighting Formula? Ever!  Never before has there been a more complete weight loss formula of all natural ingredients  virtually guaranteed to melt away stubborn fat sto,27.95
Super Acai Berry,Weight Loss,Prized for its uncanny ability to melt away unwanted fat and bolster optimum cardiovascular health  Acai Berry is a veritable nutritional treasure chest.,From Deep Within the Heart of the Amazon Rainforest Comes the Next Evolution in All Natural Weight Loss Supplements  Now Available for the First Time Ever in Easy-to-Swallow Capsules  The nutrient dense Acai Berry is the newest and most effective weapon i,27.9
Doc Darville: 60 Going On 20!,Wellness DVDs,?Three heart attacks left me weak as a kitten  but?˜Three Secret Exercises˜Changed Me From Baby to Brute?˜In Less Than 15 Minutes a Day!,No matter what kind of shape you?re in? No matter how long it?s been since you last worked out? No matter how flabby  overweight or out-of-shape you are  You can transform your body in less than six weeks.  You can drop the weight. Get back your strength ,39.95
Doc Darville: Forgotten Fitness,Wellness DVDs,A Leaner  Stronger  Sexier You In Just 30 Days ? Guaranteed!,Get in the best shape of your life using just a few simple items you have around the house. It?s gentle  it?s easy and it?s fast.  The truth is  even if you?ve already begun ?slowing down ? you can pull yourself back from the brink. You can feel like you ,39.95
Doc Darville: The Hammer,Wellness DVDs,By Using the Secret of Hammer Power?˜You Can Transform Your Body Into a Ripped  Lean  Sexy and Vigorous New You?˜In Just 4 Short Weeks!,You?ll Have the Power of a Sledge Hammer Without Lifting Weights?A Chiseled Muscular Physique?Rock Hard Abs?and be the Envy of Others in Just 15 Minutes a Day!  REAL Results in Weeks Not Years ? Train Smart Not Hard!  Unlock Your Inner Cave Man and Sculpt,39.95
Estro MP5,Women?s Health,Introducing the world?s first 100% all natural formulation designed specifically to east the symptoms of menopause and peri-menopause.,Introducing the world?s first 100% all natural formulation designed specifically to ease the symptoms of menopause and peri-menopause  At long last  you can banish the frustration and hopelessness that inevitably comes after your cycle stops and get back ,27.95
Women?s Daily,Women?s Health,Think Your women?s multi-vitamin has you covered? Think again!,Think Your Women?s Multi-Vitamin Has You Covered? Think Again!  Most of today?s ?women?s formulas? are just warmed-over men?s multivitamins?designed for a man?s body.  Now you can finally get the nutritional support you need as a woman.  Your monthly cycl,39.95
